Qty,Value,Device,Package,Parts,Description
1,100u,CPOL-EUC,PANASONIC_C,C6,"POLARIZED CAPACITOR, European symbol"
1,32K,CRYSTALTC38H,TC38H,Q5,CRYSTAL
2,yellow,LED5MM,LED5MM,"LED1, LED2",LED
1,,USBMINIB,USB-MINIB,CN1,USB Connectors
1,10-50p,C-TRIMMTZ03,CTRIMTZ03,C2,Trimm capacitor
3,100n,C-EUC0805,C0805,"C3, C4, C5","CAPACITOR, European symbol"
1,10K,R-EU_R0805,R0805,R18,"RESISTOR, European symbol"
1,10p,C-EUC0805,C0805,C1,"CAPACITOR, European symbol"
4,1K,R-EU_R0805,R0805,"R8, R9, R10, R11","RESISTOR, European symbol"
7,22R,R-EU_R0805,R0805,"R1, R2, R3, R4, R5, R6, R7","RESISTOR, European symbol"
1,330K,R-EU_R0805,R0805,R17,"RESISTOR, European symbol"
2,330R,R-EU_R0805,R0805,"R12, R13","RESISTOR, European symbol"
1,4060D,4060D,SO16,IC2,14-stage binary/ripple COUNTER
3,5M1,R-EU_R0805,R0805,"R14, R15, R16","RESISTOR, European symbol"
1,AVRISP-6,AVRISP-6,AVRISP,ISP1,AVR ISP HEADER
4,BC807-40,BC807-40-PNP-SOT23-BEC,SOT23-BEC,"T1, T2, T3, T4",PNP Transistror
28,LED_39MM,LED_39MM,LED_39MM,"L1A, L1B, L1C, L1D, L1E, L1F, L1G, L2A, L2B, L2C, L2D, L2E, L2F, L2G, L3A, L3B, L3C, L3D, L3E, L3F, L3G, L4A, L4B, L4C, L4D, L4E, L4F, L4G",3V version https://pl.aliexpress.com/item/4000478265055.html
2,SW_TACT_4P_B,SW_TACT_4P_B,SW_TACT_STANDARD_RIGHT_ANGLE,"SW1, SW2",Mount on BOTTOM side
1,TINY2313-*S*,TINY2313-*S*,SO20,IC3,Atmel Tiny2313
4,TPPAD1-20,TPPAD1-20,P1-20,"TP1, TP2, TP3, TP4",Test pad
1,ULN2003AD,ULN2003AD,SO16,IC1,DRIVER ARRAY
